3448439	São Paulo	-23.547	-46.636	BR	27	12400232	sao|sampa|san paolo|san paul ed brasil|san paulas|san paulo|san paulu|san paulu du brasili|san pauluw|san pawlo|san polo del braxil|san poulo|san po o del braxil|sanpaulu|sao paolo|sao paulo capital|saun paulu|sawo palo|urbs paulistana|cavo pavulo|sa o pa ulo|sa o paulo|samu pa ulu|sangpaollo|sangpaollu|sangpaullo|sangpaullu|sankt paulos|sanpauro|savea pealea
3530597	Mexico City	19.428	-99.128	MX	09	12294193	cdmx|cidade de mexico|cidade do mexico|cita du messicu|citta del messico|ciudad mexico|ciudad de mejico|ciudad de mexico|ciutat de mexic|grad mexico|lungsod ng mexico|mex|mehiko|mekhiko|meksikas|meksiko|meksiko siti|meksikurbo|meksyk|mexico|mexico d f|mexico df|mexico distrito federal|mexico by|mexico stad|mexicopolis|mexiko|mexiko hiria|mexiko stadt|mexikoborg
1808926	Hangzhou	30.294	120.161	CN	02	11936010	chan nktsoou|chang cou|hgh|hancheum|hanchow fu|hanczou|handzou|hang|hang chau|hang chiu chhi|hang chou|hang chou shih|hang hsien|hangchow|hangcsou|hangdzou|hanggouo|hangtsjou|hangzcouh|hangzhou city|hangzhou shi|hong chu su|hong ciu|khanchzhou|khandzhou|khangdzou|khangzhou|khanzhou|xanchjou|xangzhou
1174872	Karachi	24.861	67.010	PK	05	11624219	carachi|khi|karaaji|karaces|karachy|karaci|karacio|karacis|karacsi|karaczi|karanchi|karasi|karatschi|karatsi|karatsji|karatxi|karochi|keraci|kurrachee|kurrachi|ka la qi|ka ra ci|kalachi|karaaci|karacci|karatshy|ke la chi|krachy|kratshy|pechs
1273294	Delhi	28.652	77.231	IN	07	11034555	del|daehli|dehli|delchi|delhio|deli|delis|delkhi|dellium|dilhi|dilli|dahli|faritani delhi|new delhi|old delhi|sahdzahanabad|stare deli|de li|dehali|delli|deri|dhilli|dhly|dhly qdym|dil hi|dili|dlhy|dly|dylhy|na i dilli
524901	Moscow	55.752	37.618	RU	48	10381222	mow|maeskuy|maskav|maskava|maskva|mat xco va|matxcova|mosca|moscfa|moscha|mosco|moscou|moscova|moscovo|moscu|moscua|moskva|moska|moskau|mosko|moskokh|moskou|moskov|moskova|moskovu|moskow|moskowa|mosku|moskua|moskuas
1185241	Dhaka	23.710	90.407	BD	81	10356500	dac|daaka|daca|dacca|daka|dakah|dakk|dakka|dakkae|dakke|dako|deka|dgaka|mujib city|ntaka|ntakka|da ka|dhakka|dka|takka|thaka
1835848	Seoul	37.566	126.978	KR	11	10349312	hanyang|sel|seoel|seol|seoul si|seuel|seul|seula|seulas|seulo|seulum|siul|soeul|sol|soul|sye ul|syou ouen|szoeul|szoul|wang ching|wo jo|ciyol|gyeongseong|han yang|hanseong|saul|seoulsi|seoulteugbyeolsi|seuli|shou er
2037013	Harbin	45.750	126.650	CN	08	10009854	cap nhi tan|charbin|charbinas|charmpin|hrb|ha erbin|ha erh pin|ha erh pin shih|harbin shi|harbin chhi|harbina|harbino|harbinq|kharbin|lungsod ng harbin|pin chiang|pin chiang hsien|pinkiang|xarbin|ha er bin|ha er bin shi|ha eolbin si|har bin|harabina|harbn|harbyn|haribini|harpina|harubin|harubin shi
1850147	Tokyo	35.690	139.692	JP	40	9733276	edo|tyo|tochiu|tocio|tokija|tokijas|tokio|toquio|dokyo|dong jing|dong jing dou|dong gyeong|tokeiyw|toki o|tokkiyo|twkyw|twqyw
1812545	Dongguan	23.018	113.749	CN	30	9644871	deng uang|dongguan city|dongwen shehiri|dunguan|gjong hoan|ntonkouan|tong koan chhi|tung kon su|tung kuan|tungkuan|tungkun|xho|dong guan|dong guan shi|dong wan shi|donggu ana|dung gwan si|dwnghqwan|dwngwan|tonkuvan
360630	Cairo	30.063	31.250	EG	11	9606916	al qahirah|cai|caire|cairu|cairus|el caire|el cairo|el kahira|el kahirah|el qahira|gahire|il cairo|kaherah|kahira|kahirae|kahire|kair|kaira|kairas|kairo|kajro|kayro|le caire|lo cayiro|lungsod ng cairo|masr|misr|o cairo|alqahrt|kai luo
